タイムスタンプ	年月	あなたが所属するチームはどちらですか？	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [ChatGPT]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Gemini]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [genspark]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [bolt.new]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Notebook LM]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Devin Search]	先月で、上流工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [その他のAIツール]	上流工程において、特にどのような作業で上記のAIツールを使用しましたか？（複数選択可）	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [ChatGPT]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Gemini]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [genspark]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [bolt.new]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Notebook LM]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Devin Search]	上流工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [その他のAIツール]	上流工程でAIツールを活用したことで、特に効果を実感した作業や具体的なエピソードがあれば教えてください。	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [企画・提案の骨子検討]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [提案資料作成]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [仕様・要件整理（UI含む）]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [概要設計・システム構成検討]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [プレゼン・説明内容の整理]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [事務作業]	上流工程において、AIツールを活用することで、担当作業について、おおよそどの程度の時間や労力が削減できたと感じますか？ [その他]	上流工程でAIツールを活用する上で、どのような課題を感じていますか？（複数選択可）	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [ChatGPT / Gemini / Claude（会話）]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [ChatGPT / Gemini / Claude（コーディング）]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Devin (Session / Search / wiki)]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [GitHub Copilot]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Cursor]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [Claude (ClaudeCode)]	先月、開発工程の作業において、以下のAIツールをどのくらいの頻度で利用しましたか？ [その他]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [ChatGPT / Gemini / Claude（会話）]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [ChatGPT / Gemini / Claude（コーディング）]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Devin (Session / Search / Wiki)]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Cursor]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [GitHub Copilot]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [Claude(Claude Code)]	開発工程の作業において、それぞれのAIツールは担当された作業の生産性向上にどの程度貢献したと感じますか？ [その他]	開発工程において、特にどのような作業で上記のAIツールを使用しましたか？（複数選択可）	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [技術的な調査、問題解決のための情報収集]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [設計作業（検討・整理含む）]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [コーディング作業]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [単体テスト作業（テストケース作成・実行）]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [レビュー（コードや設計）]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください） [その他]	開発工程において、AIツールを活用することで、おおよそどの程度の時間や労力が削減できたと感じますか？（可能な範囲で、具体的な作業とともにご記入ください）	開発工程でAIツールを活用する上で、どのような課題を感じていますか？（複数選択可）	ご自身のAIツール活用に関する知識・スキルについて、自己評価をお願いします。	AIツールをより効果的に活用するために、どのようなトレーニングや情報共有があると役立ちますか？（複数選択可）	AIを活用した開発プロセス全体に関して、その他何か意見や要望があれば自由にご記入ください。
7/1/2025 10:32:52	2025年6月	ディレクターチーム	毎日	毎日	ほとんど利用しない	ほとんど利用しない	利用したことがない	ほとんど利用しない	ほとんど利用しない	情報収集・調査, 企画・提案内容のブレインストーミング、アイデア出し, 作成した仕様内容のチーム内での共有、問い合わせ対応の効率化, 既存システムのアーキテクチャ調査、理解, 改修対象箇所の特定、影響範囲の調査, 技術的な実現方法の検討、調査	5:非常に貢献した	5:非常に貢献した	2:あまり貢献しなかった	3:どちらともいえない	利用していない/判断できない	2:あまり貢献しなかった	3:どちらともいえない		30-50%程度	30-50%程度	30-50%程度	30-50%程度	30-50%程度	30-50%程度	30-50%程度	出力される情報の精度や信頼性に不安がある, 期待通りの提案やアイデアが出てこないことがある																								3:普通	普通にAIを使ってはいるけど、高度な設定をして使うとかが必要な作業経験ができたら、ちゃんと学べると思います。	
7/1/2025 10:34:42	2025年6月	エンジニアリングチーム																									週に数回	週に数回	月に数回	月に数回	毎日			4:貢献した	4:貢献した	4:貢献した	5:非常に貢献した	4:貢献した			情報収集・調査, 技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, 単体テスト作業（テストケース作成・実行）, レビュー（コードや設計）	30-50%程度	30-50%程度	30-50%程度	50%以上	30-50%程度		30%程度	Cursor+Claude4.0を使っている限りは上記の課題はほぼ感じなくなった。	5:非常に詳しい	AIを活用した開発事例の共有会	設計／開発ドキュメントのRAG化（設定／技術情報をワンストップで取得可能にする）
7/1/2025 11:37:24	2025年6月	エンジニアリングチーム																									毎日	毎日	利用したことがない	毎日	利用したことがない		利用したことがない	5:非常に貢献した	5:非常に貢献した	利用していない/判断できない	利用していない/判断できない	5:非常に貢献した		利用していない/判断できない	情報収集・調査, 技術的な調査、問題解決のための情報収集, コーディング, レビュー（コードや設計）	50%以上	あまり変わらない	50%以上	あまり変わらない	50%以上	あまり変わらない	5-6時間。※6月は開発が少なかったため。		2:あまり知らない	各ツールの具体的な使い方に関するトレーニング, 効果的なプロンプトの作成方法に関するトレーニング, AIを活用した開発事例の共有会	
7/1/2025 11:54:46	2025年6月	エンジニアリングチーム																									毎日	月に数回	月に数回	月に数回	月に数回		ほとんど利用しない	4:貢献した	4:貢献した	4:貢献した	2:あまり貢献しなかった	4:貢献した		2:あまり貢献しなかった	情報収集・調査, 技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, レビュー（コードや設計）, 資料作成	50%以上	10-20%程度	50%以上	10-20%程度	30-50%程度	10-20%程度	30%程度	エラーハンドリングやセキュリティに関する懸念, AIによるレビューのフィードバックが的確でないことがある, ツールの利用環境構築や設定が煩雑である, 調査結果が不十分な場合がある	3:普通	効果的なプロンプトの作成方法に関するトレーニング	"AIを利用する前提の生産性を期待しすぎると、AIに依頼した作業結果の確認や、メンバーのキル、モチベーションを高く保つのが難しくなる気がします。
AI利用と、メンバーによる調査やチェック作業のバランスは、メンバーごとに考慮してほしい気がします。"
7/1/2025 14:30:11	2025年6月	ディレクターチーム	週に数回	毎日	月に数回	月に数回	月に数回	利用したことがない	週に数回	情報収集・調査, 顧客要望や既存資料の要約、整理, 作成した仕様内容のチーム内での共有、問い合わせ対応の効率化	4:貢献した	5:非常に貢献した	4:貢献した	3:どちらともいえない	4:貢献した	利用していない/判断できない	5:非常に貢献した	"
・genspark

NTA_INQUIRY_DGPF-175 福井県あわら温泉のデータ調査について
（https://kankouyoho.backlog.com/view/NTA_INQUIRY_DGPF-175）
にて、調査した内容をスライド資料に落とし込んでお渡しした。
（不足情報分はAdobeを使用してまとめている）


・Notebook LM

試作中のチャットボットにて、実際のお問い合わせに対応できた。
回答はほぼそのまま使えた。

・その他のAIツール:Perplexity

①KY_HOSYU_2021-676 福井県あわら温泉のデータ調査
（https://kankouyoho.backlog.com/view/KY_HOSYU_2021-676）
にて、観光予報が保有する23施設分の各部屋数を調べるのに非常に有用だった。

②SERVICE_DEVELOPMENT-97 広報誌PDFから記事データベースを作成する
（https://opentone.backlog.jp/view/SERVICE_DEVELOPMENT-97）
にて、緯度経度を取得させるのに複数地点を一気に調べられ、非常に有用だった。
"					50%以上	30-50%程度	50%以上	ツール間の連携が煩雑である, AIによる出力結果の確認・修正に時間がかかる場合がある, 利用できるデータ量や形式に制限がある																								3:普通	各ツールの具体的な使い方に関するトレーニング, 効果的なプロンプトの作成方法に関するトレーニング, AIを活用した開発事例の共有会, ツールに関する最新情報の共有	
7/1/2025 16:34:17	2025年6月	ディレクターチーム	週に数回	月に数回	月に数回	利用したことがない	利用したことがない	利用したことがない	月に数回	情報収集・調査, 企画・提案内容のブレインストーミング、アイデア出し, 顧客要望や既存資料の要約、整理, 企画・提案書の構成検討、ドラフト作成, プレス記事、画像作成	4:貢献した	4:貢献した	4:貢献した	利用していない/判断できない	利用していない/判断できない	利用していない/判断できない	3:どちらともいえない	プレス記事作成の骨子がスムーズに出来上がった。鈴村さんへのアイキャッチ依頼の時にAI作った画像イメージを添付しイメージの共有が出来て、文言の修正一回で画像が出来た。社長にもすぐにOKいただきました。	30-50%程度	10-20%程度	10-20%程度	あまり変わらない	10-20%程度	10-20%程度	あまり変わらない	複雑なニュアンスや前提条件をAIに伝えるのが難しい, 期待通りの提案やアイデアが出てこないことがある																								2:あまり知らない	各ツールの具体的な使い方に関するトレーニング, 効果的なプロンプトの作成方法に関するトレーニング	
7/4/2025 12:26:07	2025年6月	エンジニアリングチーム																									毎日	毎日	週に数回	毎日	ほとんど利用しない		ほとんど利用しない	4:貢献した	4:貢献した	4:貢献した	3:どちらともいえない	4:貢献した		3:どちらともいえない	情報収集・調査, 技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, 単体テスト作業（テストケース作成・実行）, レビュー（コードや設計）	30-50%程度	30-50%程度	10-20%程度	30-50%程度	30-50%程度	10-20%程度	30%	日本語による指示がうまく伝わらない。伝えられていない。	3:普通	使い倒すような課題	
7/7/2025 15:34:51	2025年6月	エンジニアリングチーム																									毎日	毎日	ほとんど利用しない	毎日	利用したことがない			4:貢献した	4:貢献した	4:貢献した	利用していない/判断できない				情報収集・調査, 技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, 単体テスト作業（テストケース作成・実行）, レビュー（コードや設計）	10-20%程度	10-20%程度	10-20%程度	30-50%程度	10-20%程度			複雑なロジックや固有のフレームワークに対応できないことがある	3:普通	効果的なプロンプトの作成方法に関するトレーニング	
8/4/2025 10:23:24	2025年7月	エンジニアリングチーム																									毎日	週に数回	月に数回	週に数回	利用したことがない	週に数回	利用したことがない	5:非常に貢献した	4:貢献した	4:貢献した	4:貢献した	利用していない/判断できない	5:非常に貢献した	利用していない/判断できない	情報収集・調査, 技術的な調査、問題解決のための情報収集, コーディング, レビュー（コードや設計）	50%以上	10-20%程度	10-20%程度	10-20%程度	30-50%程度	むしろ増えてしまった		生成されるコードの品質にばらつきがある, 複雑なロジックや固有のフレームワークに対応できないことがある	3:普通	効果的なプロンプトの作成方法に関するトレーニング, AIを活用した開発事例の共有会	
8/4/2025 11:23:29	2025年7月	エンジニアリングチーム																									毎日	毎日	週に数回	毎日	ほとんど利用しない	ほとんど利用しない	ほとんど利用しない	4:貢献した	4:貢献した	4:貢献した	4:貢献した	利用していない/判断できない	利用していない/判断できない	利用していない/判断できない	情報収集・調査, 技術的な調査、問題解決のための情報収集, 設計内容の検討、整理, コーディング, 単体テスト作業（テストケース作成・実行）, レビュー（コードや設計）	50%以上	10-20%程度	10-20%程度	50%以上	50%以上	あまり変わらない	10-20%	全員ではないが、AIの回答をそのままレビューに出されることがある。自分で情報を整理は必要。	2:あまり知らない	自分自身でとことん使い倒すしかない。	
